id,date,sport,home_team,away_team,predicted_winner,home_ml,away_ml
26,2026-06-03,nba,New York Knicks,San Antonio Spurs,NYK,-187,165
1,2026-06-04,wnba,Chicago Sky,Connecticut Sun,Chicago Sky,-245,228
2,2026-06-04,wnba,Minnesota Lynx,Golden State Valkyries,Minnesota Lynx,-165,145
3,2026-06-04,wnba,Portland Fire,Phoenix Mercury,Portland Fire,-180,146
5,2026-06-05,wnba,Chicago Sky,Connecticut Sun,Chicago Sky,-245,228
6,2026-06-05,wnba,Las Vegas Aces,Golden State Valkyries,Las Vegas Aces,-165,125
7,2026-06-05,wnba,Portland Fire,Phoenix Mercury,Portland Fire,-180,146
8,2026-06-05,wnba,Minnesota Lynx,Seattle Storm,Minnesota Lynx,-800,520
9,2026-06-06,wnba,Toronto Tempo,Chicago Sky,Toronto Tempo,-210,175
10,2026-06-06,wnba,Las Vegas Aces,Golden State Valkyries,Las Vegas Aces,-155,130
11,2026-06-06,wnba,New York Liberty,Indiana Fever,New York Liberty,-150,130
12,2026-06-06,wnba,Los Angeles Sparks,Portland Fire,Los Angeles Sparks,-288,236
13,2026-06-06,wnba,Minnesota Lynx,Seattle Storm,Minnesota Lynx,-800,520
16,2026-06-12,wnba,Portland Fire,Las Vegas Aces,Las Vegas Aces,-588,410
17,2026-06-12,wnba,Dallas Wings,Phoenix Mercury,Dallas Wings,-260,210
18,2026-06-12,wnba,Washington Mystics,Toronto Tempo,Toronto Tempo,-140,120
20,2026-06-13,wnba,Portland Fire,Dallas Wings,Portland Fire,-161,130
21,2026-06-13,wnba,Connecticut Sun,Indiana Fever,Connecticut Sun,-600,425
22,2026-06-13,wnba,Phoenix Mercury,Los Angeles Sparks,Los Angeles Sparks,-118,104
23,2026-06-13,wnba,Las Vegas Aces,Minnesota Lynx,Minnesota Lynx,-154,126
24,2026-06-14,wnba,Toronto Tempo,Atlanta Dream,Toronto Tempo,-175,145
25,2026-06-14,wnba,New York Liberty,Washington Mystics,Washington Mystics,-600,450
27,2026-06-15,wnba,Minnesota Lynx,Portland Fire,Minnesota Lynx,-1100,700
29,2026-06-17,wnba,Portland Fire,Seattle Storm,Portland Fire,-135,114
